name,description,pulls,tags,updated,capabilities,size_variants,url,parameter_sizes,context_window,model_type,license_info,base_model,performance_benchmarks,hardware_requirements,specialty_domain,release_info,quantization_support
deepseek-coder-v2,An open-source Mixture-of-Experts code language model that achieves performance comparable to GPT4-Turbo in code-specific tasks.,905.4K,64,10 months ago,,,https://ollama.com/library/deepseek-coder-v2,236b,160K; 4K,Vision; Code; Text,cc,N/A,N/A,8.9GB; 133GB,coding; translation; vision,2,No
deepseek-coder,DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.,832.7K,102,1 year ago,,,https://ollama.com/library/deepseek-coder,33b,16K,Vision; Code; Text,N/A,,N/A,776MB; 3.8GB; 19GB,coding; translation; vision; function_calling,N/A,No
all-minilm,Embedding models on very large sentence level datasets.,787.7K,10,1 year ago,embedding,,https://ollama.com/library/all-minilm,33m,N/A,Embedding; Vision; Text,N/A,N/A,N/A,46MB; 67MB,vision; embedding; function_calling,N/A,No
snowflake-arctic-embed,snowflake-arctic-embed,759.6K,16,1 year ago,embedding,,https://ollama.com/library/snowflake-arctic-embed,335m,2K,Embedding; Vision; Text,N/A,N/A,N/A,669MB; 46MB; 67MB; 219MB; 274MB,vision; embedding,N/A,Yes
phi,Phi-2: a 2.7B language model by Microsoft Research that demonstrates outstanding reasoning and language understanding capabilities.,664.3K,18,1 year ago,,,https://ollama.com/library/phi,2.7b,2K,Vision; Code; Math,N/A,N/A,N/A,1.6GB,coding; math; reasoning; scientific,N/A,No
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",662K,85,12 months ago,,,https://ollama.com/library/codegemma,7b,8K,Vision; Code; Math,cc,,N/A,5.0GB; 1.6GB,coding; math; reasoning; translation,N/A,No
dolphin-mixtral,"Uncensored, 8x7b and 8x22b fine-tuned models based on the Mixtral mixture of experts models that excels at coding tasks. Created by Eric Hartford.",606.3K,70,6 months ago,,,https://ollama.com/library/dolphin-mixtral,22b,32K; 64K,Vision; Code; Text,N/A,Mixtral,N/A,26GB; 80GB,coding; vision,N/A,No
openthinker,A fully open-source family of reasoning models built using a dataset derived by distilling DeepSeek-R1.,535K,15,3 months ago,,,https://ollama.com/library/openthinker,32b,32K,Vision; Math; Reasoning,N/A,N/A,MATH:500; MATH:500; MATH:500; MATH:500,4.7GB; 20GB,math; reasoning; vision,2,No
llama4,Meta's latest collection of multimodal models.,461.8K,11,4 weeks ago,tools;vision,,https://ollama.com/library/llama4,17b; 109B; 400B,128K,Vision; Code; Math,mit; commercial; cc,,MMMU:0,67GB; 245GB,coding; math; reasoning; legal,N/A,Yes
orca-mini,"A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware.",430.8K,119,1 year ago,,,https://ollama.com/library/orca-mini,3b; 7b; 13b; 70b,2K; 4K,Vision; Math; Text,N/A,Llama; Llama,N/A,2.0GB; 3.8GB; 7.4GB; 39GB; 8GB; 16GB,math; vision; function_calling,3,No
wizardlm2,"State of the art large language model from Microsoft AI with improved performance on complex chat, multilingual, reasoning and agent use cases.",381.3K,22,1 year ago,,,https://ollama.com/library/wizardlm2,22b,32K; 64K,Vision; Reasoning; Chat,N/A,N/A,N/A,4.1GB; 80GB,reasoning; translation; chat; vision,N/A,No
dolphin-mistral,The uncensored Dolphin model based on Mistral that excels at coding tasks. Updated to version 2.8.,364.2K,120,1 year ago,,,https://ollama.com/library/dolphin-mistral,7b,32K,Vision; Chat; Text,commercial,Mistral; Mistral,N/A,4.1GB,coding; chat; vision,2.6; 0.2; 2.0,No
smollm,"🪐 A family of small models with 135M, 360M, and 1.7B parameters, trained on a new high-quality dataset.",348K,94,11 months ago,,,https://ollama.com/library/smollm,1.7b; 1.7B,2K,Vision; Text,N/A,,N/A,991MB; 92MB; 229MB,translation; vision,N/A,No
dolphin-llama3,"Dolphin 2.9 is a new model with 8B and 70B sizes by Eric Hartford based on Llama 3 that has a variety of instruction, conversational, and coding skills.",343.6K,53,1 year ago,,,https://ollama.com/library/dolphin-llama3,70b; 70B,256K; 8K,Vision; Chat; Text,N/A,Llama; Llama,N/A,4.7GB; 40GB; 64GB,coding; chat; vision; function_calling,N/A,No
codestral,Codestral is Mistral AI’s first-ever code model designed for code generation tasks.,333.5K,17,10 months ago,,,https://ollama.com/library/codestral,22b; 22B,32K,Vision; Code; Text,cc,,N/A,13GB,coding; translation; vision; function_calling,N/A,No
command-r,Command R is a Large Language Model optimized for conversational interaction and long context tasks.,302.7K,32,10 months ago,tools,,https://ollama.com/library/command-r,35b,128K,Vision; Chat; Text,cc,N/A,N/A,19GB,translation; chat; vision; embedding,01; 0.1,Yes
hermes3,Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research,301.8K,65,7 months ago,tools,,https://ollama.com/library/hermes3,405b,128K,Vision; Code; Reasoning,N/A,N/A,N/A,4.7GB; 2.0GB; 40GB; 229GB,coding; reasoning; scientific; translation,N/A,No
phi3.5,A lightweight AI model with 3.8 billion parameters with performance overtaking similarly and larger sized models.,299.2K,17,10 months ago,,,https://ollama.com/library/phi3.5,3.8b,128K; 4K,Vision; Reasoning; Text,N/A,N/A,N/A,2.2GB,reasoning; summarization; vision; embedding,N/A,No
yi,"Yi 1.5 is a high-performing, bilingual language model.",284.7K,174,1 year ago,,,https://ollama.com/library/yi,34b,4K,Vision; Text,N/A,,N/A,3.5GB; 5.0GB; 19GB,translation; vision,N/A,No
zephyr,Zephyr is a series of fine-tuned versions of the Mistral and Mixtral models that are trained to act as helpful assistants.,273.2K,40,1 year ago,,,https://ollama.com/library/zephyr,141b,32K; 64K,Vision; Chat; Text,N/A,N/A,N/A,4.1GB; 80GB,translation; chat; vision,N/A,No
phi4-mini,"Phi-4-mini brings significant enhancements in multilingual support, reasoning, and mathematics, and now, the long-awaited function calling feature is finally supported.",225.7K,5,4 months ago,tools,,https://ollama.com/library/phi4-mini,3.8b,128K,Vision; Code; Math,commercial; cc,N/A,N/A,2.5GB,coding; math; reasoning; scientific,0.5.13,No
moondream,moondream2 is a small vision language model designed to run efficiently on edge devices.,220.7K,18,1 year ago,vision,,https://ollama.com/library/moondream,1.8b,2K,Vision; Reasoning; Text,mit; cc,N/A,N/A,1.7GB,reasoning; translation; vision,N/A,Yes
granite-code,A family of open foundation models by IBM for Code Intelligence,220.5K,162,10 months ago,,,https://ollama.com/library/granite-code,34b; 3B; 8B; 20B; 34B,125K; 128K; 8K,Vision; Code; Text,cc,N/A,N/A,2.0GB; 4.6GB; 12GB; 19GB,coding; vision,N/A,No
wizard-vicuna-uncensored,wizard-vicuna-uncensored,218.4K,49,1 year ago,,,https://ollama.com/library/wizard-vicuna-uncensored,7b; 13b; 30b; 30B,2K,Vision; Text,cc,Llama; Llama,N/A,3.8GB; 7.4GB; 18GB; 8GB; 16GB; 32GB,vision; function_calling,N/A,Yes
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,206.6K,100,1 year ago,,,https://ollama.com/library/starcoder,15b,8K,Vision; Code; Text,N/A,GitHub; GitHub,N/A,1.8GB; 726MB; 4.3GB; 9.0GB,coding; translation; vision,N/A,No
granite3.3,IBM Granite 2B and 8B models are 128K context length language models that have been fine-tuned for improved reasoning and instruction-following capabilities.,206.3K,3,3 months ago,tools,,https://ollama.com/library/granite3.3,8b; 8B,128K,Vision; Code; Math,apache; Apache 2.0,N/A,N/A,4.9GB; 1.5GB,coding; math; reasoning; scientific,N/A,No
vicuna,General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.,186K,111,1 year ago,,,https://ollama.com/library/vicuna,33b,16K; 2K; 4K,Vision; Chat; Text,N/A,Llama; Llama,N/A,3.8GB; 7.4GB; 18GB,chat; vision,1.3; 1.5,No
devstral,Devstral: the best open source model for coding agents,185.7K,5,1 week ago,tools,,https://ollama.com/library/devstral,24b,128K,Vision; Code; Text,mit; Apache 2.0; commercial,N/A,N/A,14GB; 32GB,coding; vision; function_calling,3,No
openchat,"A family of open-source models trained on a wide variety of data, surpassing ChatGPT on various benchmarks. Updated to version 3.5-0106.",178K,50,1 year ago,,,https://ollama.com/library/openchat,7b,8K,Vision; Chat; Text,N/A,,N/A,4.1GB,coding; translation; chat; vision,3.5,No
mistral-openorca,"Mistral OpenOrca is a 7 billion parameter model, fine-tuned on top of the Mistral 7B model using the OpenOrca dataset.",175.4K,17,1 year ago,,,https://ollama.com/library/mistral-openorca,7b; 7B; 13B,32K,Vision; Text,N/A,,N/A,4.1GB,vision; function_calling,N/A,No
mistral-small3.1,"Building upon Mistral Small 3, Mistral Small 3.1 (2503) adds state-of-the-art vision understanding and enhances long context capabilities up to 128k tokens without compromising text performance.",173.6K,5,3 months ago,tools;vision,,https://ollama.com/library/mistral-small3.1,24b,128K,Vision; Reasoning; Chat,Apache 2.0; cc,Mistral; Mistral,N/A,15GB; 32GB,reasoning; medical; legal; scientific,N/A,No
magistral,"Magistral is a small, efficient reasoning model with 24B parameters.",172.7K,5,4 weeks ago,tools;thinking,,https://ollama.com/library/magistral,24b; 24B,40K; 128K; 39K,Vision; Reasoning; Text,Apache 2.0; commercial; cc,N/A,N/A,14GB,coding; reasoning; medical; finance,N/A,Yes
codegeex4,"A versatile model for AI software development scenarios, including code completion.",172.7K,17,1 year ago,,,https://ollama.com/library/codegeex4,9b; 10B,128K,Vision; Code; Text,N/A,,N/A,5.5GB,coding; translation; vision,0.2.0,No
deepcoder,"DeepCoder is a fully open-Source 14B coder model at O3-mini level, with a 1.5B version also available.",169.4K,9,3 months ago,,,https://ollama.com/library/deepcoder,14b; 14B,128K,Vision; Code; Reasoning,cc,N/A,N/A,9.0GB; 1.1GB,coding; reasoning; vision; function_calling,5,No
deepseek-v2,"A strong, economical, and efficient Mixture-of-Experts language model.",167.8K,34,1 year ago,,,https://ollama.com/library/deepseek-v2,236b,4K,Vision; Text,N/A,N/A,N/A,8.9GB; 133GB,finance; translation; vision,2; 0.1.40,Yes
deepseek-llm,An advanced language model crafted with 2 trillion bilingual tokens.,166.2K,64,1 year ago,,,https://ollama.com/library/deepseek-llm,67b; 67B; 70B,4K,Vision; Math; Reasoning,N/A,N/A,N/A,4.0GB; 38GB,coding; math; reasoning; translation,N/A,No
openhermes,OpenHermes 2.5 is a 7B model fine-tuned by Teknium on Mistral with fully open datasets.,164.6K,35,1 year ago,,,https://ollama.com/library/openhermes,7B; 70B,32K,Vision; Code; Chat,N/A,,N/A,4.1GB,coding; chat; vision; function_calling,2; 2.5,No
cogito,"Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks.",162.2K,20,3 months ago,tools,,https://ollama.com/library/cogito,70b,128K,Vision; Reasoning; Chat,commercial; cc,N/A,N/A,4.9GB; 2.2GB; 9.0GB; 20GB; 43GB,coding; reasoning; scientific; translation,1,Yes
codeqwen,CodeQwen1.5 is a large language model pretrained on a large amount of code data.,157.8K,30,1 year ago,,,https://ollama.com/library/codeqwen,7b,64K,Vision; Code; Text,cc,Qwen1; Qwen1,N/A,4.2GB,coding; translation; vision,N/A,No
llama2-chinese,Llama 2 based model fine tuned to improve Chinese dialogue ability.,155.1K,35,1 year ago,,,https://ollama.com/library/llama2-chinese,7b; 13b; 13B,4K,Vision; Code; Chat,cc,Meta; Meta,N/A,3.8GB; 7.4GB; 8GB; 16GB,coding; chat; vision; function_calling,N/A,No
phi4-reasoning,Phi 4 reasoning and reasoning plus are 14-billion parameter open-weight reasoning models that rival much larger models on complex reasoning tasks.,150.8K,9,2 months ago,,,https://ollama.com/library/phi4-reasoning,14b,32K,Vision; Math; Reasoning,proprietary; cc,N/A,N/A,11GB,coding; math; reasoning; scientific,N/A,No
aya,"Aya 23, released by Cohere, is a new family of state-of-the-art, multilingual models that support 23 languages.",147.8K,33,1 year ago,,,https://ollama.com/library/aya,35b; 35B,8K,Vision; Text,N/A,N/A,N/A,4.8GB; 20GB,scientific; translation; vision,N/A,No
mistral-large,"Mistral Large 2 is Mistral's new flagship model that is significantly more capable in code generation, mathematics, and reasoning with 128k context window and support for dozens of languages.",143.4K,32,7 months ago,tools,,https://ollama.com/library/mistral-large,123b; 123B,128K,Vision; Code; Math,commercial,more; more,N/A,73GB,coding; math; reasoning; scientific,N/A,No
glm4,A strong multi-lingual general language model with competitive performance to Llama 3.,139.8K,32,1 year ago,,,https://ollama.com/library/glm4,9b,128K,Vision; Code; Math,N/A,N/A,N/A,5.5GB,coding; math; reasoning; translation,0.2.0,No
tinydolphin,An experimental 1.1B parameter model trained on the new Dolphin 2.8 dataset by Eric Hartford and based on TinyLlama.,139.7K,18,1 year ago,,,https://ollama.com/library/tinydolphin,1.1b; 1.1B,4K,Vision; Text,N/A,TinyLlama; TinyLlama,N/A,637MB,vision,N/A,No
stable-code,Stable Code 3B is a coding model with instruct and code completion variants on par with models such as Code Llama 7B that are 2.5x larger.,138.9K,36,1 year ago,,,https://ollama.com/library/stable-code,3b,16K,Embedding; Vision; Code,mit; cc,,N/A,1.6GB,coding; math; translation; vision,1.5,No
granite3.2-vision,"A compact and efficient vision-language model, specifically designed for visual document understanding, enabling automated content extraction from tables, charts, infographics, plots, diagrams, and more.",138.7K,5,4 months ago,tools;vision,,https://ollama.com/library/granite3.2-vision,2b,16K,Vision; Text,N/A,,N/A,2.4GB,translation; vision; function_calling,0.5.13,Yes
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",138.3K,52,10 months ago,,,https://ollama.com/library/qwen2-math,72b,4K,Vision; Math; Chat,N/A,N/A,math:138.4; math:1.5; math:1.5; math:7; math:7; math:72; math:72,4.4GB; 935MB; 41GB,math; translation; chat; vision,N/A,No
nous-hermes2,The powerful family of models by Nous Research that excels at scientific discussion and coding tasks.,134.1K,33,1 year ago,,,https://ollama.com/library/nous-hermes2,10.7b; 34b; 10.7B; 34B,4K,Vision; Text,N/A,Solar,N/A,6.1GB; 19GB,coding; scientific; vision,N/A,No
wizardcoder,State-of-the-art code generation model,129.8K,67,1 year ago,,,https://ollama.com/library/wizardcoder,33b; 33B; 34B,16K,Vision; Code; Text,N/A,Code; Code,N/A,3.8GB; 19GB,coding; translation; vision,1.1,No
command-r-plus,"Command R+ is a powerful, scalable large language model purpose-built to excel at real-world enterprise use cases.",129.6K,21,10 months ago,tools,,https://ollama.com/library/command-r-plus,104b,128K,Vision; Text,cc,N/A,N/A,59GB,translation; vision; embedding; function_calling,N/A,No
bakllava,BakLLaVA is a multimodal model consisting of the Mistral 7B base model augmented with the LLaVA  architecture.,123.3K,17,1 year ago,vision,,https://ollama.com/library/bakllava,7b; 7B,32K,Vision; Text,CC; cc,N/A,N/A,4.7GB; 93TB,vision; function_calling,87; 2; 359,No
neural-chat,A fine-tuned model based on Mistral with good coverage of domain and language.,118.8K,50,1 year ago,,,https://ollama.com/library/neural-chat,7b,32K,Vision; Chat; Text,N/A,Mistral; Mistral,N/A,4.1GB,translation; chat; vision,3,No
stablelm2,"Stable LM 2 is a state-of-the-art 1.6B and 12B parameter language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch.",117K,84,1 year ago,,,https://ollama.com/library/stablelm2,12b; 12B,4K,Vision; Text,N/A,multilingual; multilingual,N/A,983MB; 7.0GB,translation; vision,N/A,No
granite3.2,Granite-3.2 is a family of long-context AI models from IBM Granite fine-tuned for thinking capabilities.,115K,9,4 months ago,tools;thinking,,https://ollama.com/library/granite3.2,8b,128K,Vision; Code; Reasoning,apache; Apache 2.0,,N/A,4.9GB; 1.5GB,coding; reasoning; translation; summarization,N/A,No
bge-large,Embedding model from BAAI mapping texts to vectors.,112.9K,3,11 months ago,embedding,,https://ollama.com/library/bge-large,335m,N/A,Embedding; Vision; Text,N/A,N/A,N/A,671MB,vision; embedding,N/A,No
